TwitchCategoryId,Language,Name,Synopsis,Summary,Source,IGDBId,SteamId
493057,,PLAYERUNKNOWN'S BATTLEGROUNDS,,PLAYERUNKNOWN'S BATTLEGROUNDS is a battle royale shooter that pits 100 players against each other in a struggle for survival. Gather supplies and outwit your opponents to become the last person standing.,,27789,578080
512710,,Call of Duty: Warzone,,"Prepare to go dark, Modern Warfare is back! 
 
The stakes have never been higher as players take on the role of lethal Tier One operators in a heart-racing saga that will affect the global balance of power. Call of Duty: Modern Warfare engulfs fans in an incredibly raw, gritty, provocative narrative that brings unrivaled intensity and shines a light on the changing nature of modern war. 
 
Players will be thrust into an immersive narrative spanning the entire game. Experience the ultimate online playground with classic multiplayer or squad-up and play cooperatively in a collection of elite operations, accessible to all skill levels.",,119177,
490422,,StarCraft II,,"In the distant future, in the darkest reaches of space, the ghosts of the past whisper your name. You are Jim Raynor, a marshal-turned-rebel on a vigilante crusade to bring down the Dominion and its nefarious leader, Arcturus Mengsk. Haunted by betrayal and remorse, some believe you may have given up the fight. But you have promises to keep… and a need for vengeance that’s long overdue.",,239,
509670,,Science & Technology,,,,,
497057,,Destiny 2,,"In Destiny 2, the last safe city on Earth has fallen and lays in ruins, occupied by a powerful new enemy and his elite army, the Red Legion. Every player creates their own character called a “Guardian,” humanity’s chosen protectors. As a Guardian in Destiny 2, players must master new abilities and weapons to reunite the city’s forces, stand together and fight back to reclaim their home.  
  
In Destiny 2 players will answer this call, embarking on a fresh story filled with new destinations around our solar system to explore, and an expansive amount of activities to discover. There is something for almost every type of gamer in Destiny 2, including gameplay for solo, cooperative and competitive players set within a vast, evolving and exciting universe.",,25657,1085660
460630,,Tom Clancy's Rainbow Six Siege,,"Inspired by the reality of counter terrorist operatives across the world, Rainbow Six Siege invites players to master the art of destruction. Intense close quarters confrontations, high lethality, tactics, team play, and explosive action are at the center of the experience. The multiplayer gameplay of Rainbow Six Siege sets a new bar for intense firefights and expert strategy in the rich legacy of past Rainbow Six games.",,7360,359550
505257,,Enlisted,,"Enlisted is a squad-based first person MMO shooter covering key battles from World War II. The game carefully recreates weapons, military vehicles and the atmosphere of that era, while demonstrating really massive clashes of numerous soldiers, tanks and aircraft with artillery and naval support.  
 
Most of the Enlisted game modes simulate a battle involving several infantry platoons and gives the player control over a squad of soldiers with various roles (i.e. submachine gun soldier, sniper, radio operator, rifleman and others), a whole military vehicle crew or an aircraft pilot. One of the fighters is controlled directly, while others move and shoot independently following the player's general orders. In a situation where all the soldiers in the squad have fallen, a player respawns with the next available squad. This decision makes Enlisted battles look massive and spectacular while keeping the input of each individual player in the overall team victory quite significant.  
 
Enlisted is developed by Darkflow Software studio using Dagor engine - the same engine that is used by Gaijin Entertainment’s War Thunder military online action game. That’s why the accurately recreated ground vehicles and aircraft look, move and are controlled in the most realistic way and their damage model is quite sophisticated. For example, when a shell breaks through a tank armor, the trajectory of individual shards is properly calculated as well as the exact consequences to each vehicle part and crew member.  
 
Features: 
 
– Epic massive battles that look as massive as the historical battles, like the Omaha beach landing.  
 
– High input of each player in the team victory: Despite the massiveness of the battles, the result is significantly defined by the performance of each player. 
 
– The diversity of game roles and the ability to switch between them on the fly: one minute you’re storming enemy trenches with a submachine gun, the next, you’re hiding on a roof with a sniper rifle, and you can also jump into a tank to break through the defenses, throw grenades towards the enemy vehicle or provide air support to your teammates. 
 
– Enlisted looks authentic even in the tiniest details, like the appearance of soldiers and buildings or a tank’s damage model. The list of vehicles and weapons available in specific missions is also based on real history, so you cannot use equipment from 1945 in a battle that took place in 1941.  
 
– A player can customize and train squads according to their individual playing style, unlock perks and upgrades as long as this does not contradict the historical accuracy principle.",,26431,
26936,,Music,,,,,
11989,,StarCraft,,StarCraft is a strategic game set in a Galaxy far away on multiple planets. It's style and balance between the three antagonistic species it features is unique and appealed to millions.,,230,
7022,,The Forest,,"As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. 
Build, explore, survive in this terrifying first person survival horror simulator.",,7504,242760
