TwitchCategoryId,Language,Name,Synopsis,Summary,Source,IGDBId,SteamId
1009246122,de,True Fear: Forsaken Souls Part 1,,"True Fear: Forsaken Souls vereint das Beste eines psychologischen Thrillers mit Spaß und intuitiver Gameplay-Mechanik. Episode 1, die erste einer Trilogie, wirst du so schnell nicht mehr vergessen.",steam,33569,440420
10095,de,Sega Bass Fishing,,Erleben Sie den Angelsport aus nächster Nähe! Fahren Sie in diesem Dreamcast-Klassiker zu acht verschiedenen Angelplätzen und fangen Sie den größten Barsch aller Zeiten! Wählen Sie zwischen 14 Ködern und nehmen Sie an vier Wettkämpfen teil.,steam,5147,71240
10209,de,LEGO Star Wars: The Complete Saga,,"Schlagen Sie sich durch I bis VI! Spielen Sie alle sechs Star Wars Filme in einem Computerspiel! Mit neuen Charakteren, neue Levels, neuenFeatures und zum allerersten mal haben Sie die Chance sich in einem einzigen Spiel durch die gesamte Star Wars Galaxie zu schlagen und zu bauen!",steam,2682,32440
1022552887,de,DØM RUSALOK,,Russia in the ‘90s. A provincial town at the edge of the crumbling Soviet Empire. A group of kids faces the disturbing horror they are unable to comprehend – the DØM RUSALOK. This is a place where the worst nightmares come true.,steam,132625,1281420
10263,de,Kao the Kangaroo Round 2,,"Erlebe eine Reise zurück in die gute alte Zeit des unglaublichen, tapferen und pfiffigen Kao das Känguru. Tauch ein in ein klassisches 3D-Plattform-Action-Adventure, in dem Kao läuft, springt und gegen jede Menge Gegner kämpft.",steam,3962,1048540
1029754927,de,Stay Out of the House,,Edge of your seat STEALTH HORROR as you try to escape the house of a cannibal SERIAL KILLER.... Stay Out of the House is inspired by VHS era slasher movies and PS1 survival horror...,steam,109668,896520
103445,de,Kentucky Route Zero,,"KENTUCKY ROUTE ZERO ist ein magisch-realistisches Abenteuerspiel rund um einen geheimen Highway durch unterirdische Höhlen in Kentucky und die geheimnisvollen Menschen, die dort unterwegs sind.",steam,5614,231200
1037570605,de,House Builder,,"Sie sagen, ein Mann muss drei Dinge in seinem Leben tun: einen Baum pflanzen, einen Sohn zeugen und ein Haus bauen. Wir können Ihnen weder mit dem Baum noch mit dem Sohn helfen, aber Sie können so viele Häuser bauen, wie Sie möchten, während Sie House Builder spielen.",steam,133448,1244630
1039531588,de,The Caretaker,,"In &quot;The Caretaker - Dungeon Nightshift&quot;, you slip into the role of a dungeon caretaker. Your job is as easy as it sounds. Clean up the dungeon after the daily attacks. And don't make too much noise. Make sure, the dungeon master does not wake up! Maybe it's NOT as easy as it sounds......",steam,32429,486550
10407,de,Counter-Strike: Source,,"Kürzlich um Spieler-Statistiken, Errungenschaften, neue Ranglisten und noch mehr aktualisiert!",steam,307,240
10408,de,Master of Orion,,Forge an empire in a universe where population growth is stripping away planetary resources. Colonize unknown planets and trade with other races for their knowledge.,steam,67,410970
104238,de,Lovers in a Dangerous Spacetime,,"LOVERS IN A DANGEROUS SPACETIME ist ein wilder, kooperativer Weltraumshooter für 1–4 Spieler. Steuert in Teamarbeit euer leuchtendes Raumschiff, denn nur gemeinsam könnt ihr über die bösen Mächte der Anti-Liebe siegen, entführte Weltraumhäschen befreien und dem Tod im luftleeren Raum entgehen!",steam,12520,252110
1050003477,de,The Elder Scrolls V: Skyrim Special Edition,,"EINE EPISCHE FANTASY-WELT KEHRT ZURÜCKDies ist das nächste Kapitel der mit Spannung erwarteten Elder Scrolls Saga, von Bethesda Game Studios, den Machern der Spiele des Jahres 2006 und 2008. Skyrim revolutioniert das Genre der Open-World Fantasy-Rollenspiele und erzeugt eine lückenlos virtuelle Welt, in der Sie jeden Weg erforschen...",steam,472,72850
10532,de,Call to Arms,,"Call to Arms offers an innovative mix of real-time strategy and 3rd, as well as 1st person controls. Set in the time of modern warfare, the game offers realistically modeled vehicles and heavy weaponry, as well as dozens of firearms and customizations.",steam,17432,302670
1054733525,de,Writers,,"Writers is a game where you play as a writer and try to be the first in typing random excerpts from the book. Fight against your friends or players around the world, make your way to the top and show them speed you are capable of. Become a member of Writer's club and master all language leagues!",steam,75105,649990
106657,de,Gorogoa,,"Gorogoa ist eine elegante Evolution des Rätsel-Genres und wird in Form einer wunderschön handgezeichneten Geschichte erzählt, die von Jason Roberts gestaltet und illustriert wurde.",steam,9136,557600
106662,de,The Cat Lady,,"The Cat Lady follows Susan Ashworth, a lonely 40-year old on the verge of suicide. She has no family, no friends and no hope for a better future. One day she discovers that five strangers will come along and change everything...",steam,11270,253110
1069224702,de,Guardian of Lore,,"A mystical library houses books of ancient folktales from lost civilizations. Play as prince Sayri, and protect these stories from wicked magic that aims to erase their memory forever. Enter each story and save it from within... or at least part of it.",steam,128253,1211740
1069583912,de,Mountain Rescue Simulator,,"Wenn die Gefahr droht bist du mit deinem Team gefragt! Nutze deine Spezialfahrzeuge wie Helikopter, Quad oder Pistenraupe, um Menschen aus ihrer akuten Notlage zu retten. Versorge Knochenbrüche oder rette verirrte Wanderer aus dem Wald – auch dein tierischer Freund begleitet dich!",steam,123737,1087910
10710,de,Counter-Strike,,Spielen Sie das weltbekannte Online-Action-Spiel. Nehmen Sie in diesem äußerst beliebten Teamplayer-Spiel an einem unglaublich realistischen Antiterrorkrieg teil. Verbünden Sie sich mit anderen Spielern und führen Sie strategische Missionen aus. Heben Sie feindliche Nester aus. Retten Sie Geiseln.,steam,,
1074425711,de,Westwood Shadows,,"A police detective gets involved in a case about a missing couple. Soon he finds out that the husband was working at a mental asylum and he was conducting research over the mysterious disappearance of patients. Among the files, there is something he would never think he would find.",steam,121094,1122360
10767,de,Fallout,,"Sie haben soeben das klassische, post-apokalyptische Rollenspiel ausgegraben, welches das komplette CRPG-Genre revolutionierte. Das Fallout® SPECIAL-System erlaubt sehr unterschiedliche Charaktertypen, ermöglicht weitreichende Entscheidungen und Entwicklungen, die Ihnen die komplette Kontrolle überlassen.",steam,13,38400
10775,de,S.T.A.L.K.E.R.: Shadow of Chernobyl,,"S.T.A.L.K.E.R.: Shadow of Chernobyl tells a story about survival in the Zone – a very dangerous place, where you fear not only the radiation, anomalies and deadly creatures, but other S.T.A.L.K.E.R.s, who have their own goals and wishes.",steam,320,4500
10818,de,Crysis,,"Anschleichen, angreifen und überleben  Eine epische Story befördert Sie in eine sich ständig verändernde Umgebung und erfordert von Ihnen ständige Anpassung Ihrer Taktik, um z.B. bei Gefechten im gefrorenen Dschungel oder auch bei Schwerelosigkeit die Oberhand zu behalten.Anpassen und anziehen!",steam,296,17300
1081813333,de,Blank,,"Dive in the metaphorical universe of Blank, a third-person puzzle-platformer game with strong stealth aspects. In a world filled with headless people, you must escape from the claws of the Metropolis, switch perspective to find the right path through this dystopian world and recover Blank’s true identity.",steam,127800,1174920
1087376848,de,Bad Guys at School,,"In Bad Guys at School you can play as students and revolt against school system by completing missions, or decide to become a teacher that must maintain order despite the violence and brutality in the school.",steam,128352,1218280
109,de,Space Channel 5: Part 2,,"Hey, SpaceCats – das hier ist Ulala, die absolut groovigste Reporterin der Galaxis! Sie ist cool und hat jede Menge Moves drauf. Helfen Sie ihr bei der Suche nach einer mysteriösen Tanzgruppe, die Tausende Unschuldige entführt hat und sie zum Tanzen zwingt!",steam,6603,71260
1090408381,de,State of Decay 2: Juggernaut Edition,,"Die Untoten sind auferstanden und die Zivilisation gefallen. Nun muss deine kleine Gruppe aus Überlebenden in dieser Mischung aus Action- und Strategie-Simulation in einer offenen Welt nach Ressourcen suchen und eine Basis bauen, die Zombiehorden standhalten kann.",steam,19541,495420
1092230319,de,Movie World,,"In Movie World you can build your own movie studio. Produce entertaining and glamorous movies. Research new technologies to keep up with the industry. Expand into series, compete with other studios, receive the awards, create franchises and prevail in the movie business.",steam,132349,1284230
10948,de,Wizardry 8,,"A New Wizardry for a New GenerationThe universe is in the throes of violent upheaval and change. Vast and mysterious forces are preparing for the final confrontation. A small group of heroes from distant lands must plunge into the heart of the maelstrom, to uncover long-forgotten secrets, and bring about a new era.",steam,939,245450
10982,de,Little Big Adventure,,"Little Big Adventure, ursprünglich 1994 veröffentlicht und auch als Relentless: Twinsen's Adventure bekannt, ist ein Action-Adventure-Rollenspiel, das von Frédérick Raynal entworfen wurde.",steam,8515,397330
1101172730,de,AI: The Somnium Files,,Sei in diesem spannenden Sciencefiction-Fall um einen flüchtigen Serienmörder Detektiv Kaname Date.,steam,104971,948740
110754,de,Alien Swarm: Reactive Drop,,Co-operative top-down shooter game available for free. An epic bug hunt featuring a unique blend of co-op play and squad-level tactics.,steam,27523,563560
11089,de,Ikaruga,,Shoot! Dodge! and... Get Hit!? &quot;Ikaruga&quot; is a vertical shoot 'em up that features an unique polarity-switching gameplay. Switch the ship's polarity and &quot;get hit and absorb&quot; enemy bullets! Achieve High Score with the chain bonus!,steam,3953,253750
