TwitchCategoryId,Language,Name,Synopsis,Summary,Source,IGDBId,SteamId
10119,es,Hitman: Blood Money,,"El dinero habla. El silencio paga. Prepárate para hacer una masacre. Cuando los asesinos de la agencia de contratación de 47, la ICA, son eliminados sistemáticamente tras una serie de ataques, parece que una agencia mayor y más poderosa ha saltado a la palestra.",steam,,
10209,es,LEGO Star Wars: The Complete Saga,,"¡Dale Caña a los Bloques desde el I hasta el VI! ¡Juega a lo largo de las seis películas de Star Wars en un solo videojuego! Con nuevos personajes, nuevos niveles, nuevas características y, por primera vez, ¡la oportunidad de construir y luchar a tu manera en una divertida galaxia de Star Wars en tu PC!",steam,2682,32440
1022552887,es,DØM RUSALOK,,Russia in the ‘90s. A provincial town at the edge of the crumbling Soviet Empire. A group of kids faces the disturbing horror they are unable to comprehend – the DØM RUSALOK. This is a place where the worst nightmares come true.,steam,132625,1281420
1029754927,es,Stay Out of the House,,Edge of your seat STEALTH HORROR as you try to escape the house of a cannibal SERIAL KILLER.... Stay Out of the House is inspired by VHS era slasher movies and PS1 survival horror...,steam,109668,896520
1037570605,es,House Builder,,"Dicen que un hombre debe hacer tres cosas en su vida: plantar un árbol, engendrar un hijo y construir una casa. No podemos ayudarte con el árbol ni con el hijo, pero puedes construir tantas casas como quieras mientras juegas House Builder.",steam,133448,1244630
10407,es,Counter-Strike: Source,,"¡Actualizado para incluir estadísticas de los jugadores, logros, nuevos marcadores y mucho más!",steam,,
10408,es,Master of Orion,,Forge an empire in a universe where population growth is stripping away planetary resources. Colonize unknown planets and trade with other races for their knowledge.,steam,67,410970
104238,es,Lovers in a Dangerous Spacetime,,"LOVERS IN A DANGEROUS SPACETIME es un frenético juego de acción y disparos cooperativo para 1 a 4 jugadores en el que manejas una enorme nave espacial. Solo trabajando en equipo podréis vencer a las maléficas fuerzas de Antiamor, rescatar a los conejitos espaciales y evitar el colapso de la galaxia.",steam,12520,252110
1050003477,es,The Elder Scrolls V: Skyrim Special Edition,,"EL RENACIMIENTO DE UNA FANTASÍA ÉPICAEl nuevo capítulo de la esperadísima saga Elder Scrolls llega de la mano de los creadores de los Juegos del Año 2006 y 2008, Bethesda Game Studios. Skyrim reinventa y el revoluciona el épico universo de fantasía, dando vida a un completo mundo virtual para que puedas explorarlo de la forma que quieras.",steam,472,72850
10532,es,Call to Arms,,"Call to Arms offers an innovative mix of real-time strategy and 3rd, as well as 1st person controls. Set in the time of modern warfare, the game offers realistically modeled vehicles and heavy weaponry, as well as dozens of firearms and customizations.",steam,17432,302670
1054733525,es,Writers,,"Writers is a game where you play as a writer and try to be the first in typing random excerpts from the book. Fight against your friends or players around the world, make your way to the top and show them speed you are capable of. Become a member of Writer's club and master all language leagues!",steam,75105,649990
1059905471,es,MINE!,,"This VR Shooting Gallery single player game has three levels of game play challenging you to defend the mine from invading forces. From your static vantage point you need to shoot as many aliens as possible, as fast as you can. Are you able to stop them stealing your crystals?",steam,,
1069583912,es,Mountain Rescue Simulator,,"Cuando el peligro llama... ¡debes convertirte en un rescatador en Mountain Rescue Simulator! ¡Ahora tu equipo y tú debéis entrar en acción! Usa vehículos especiales como helicópteros, quads o snowcats para realizar rescates. ¡Ocúpate de los huesos rotos o rescata a senderistas perdidos!",steam,123737,1087910
10710,es,Counter-Strike,,"Disfruta del juego de acción en línea n° 1 en el mundo. Sum&eacute;rgete en el fragor de la guerra antiterrorista más realista con este archiconocido juego por equipos. Alíate con compañeros para superar misiones estrat&eacute;gicas, asalta bases enemigas, rescata rehenes, y recuerda que tu personaje contribuye al &eacute;xito del equipo...",steam,,
10767,es,Fallout,,"Te acabas de topar con el clásico juego de rol postapocalíptico que revitalizó todo el género. El sistema SPECIAL de Fallout® te permite desarrollar diferentes tipos de personaje y tomar decisiones significativas, todo bajo tu completo control. Explora las ruinas devastadas de una civilización de la Edad de Oro.",steam,13,38400
10775,es,S.T.A.L.K.E.R.: Shadow of Chernobyl,,"S.T.A.L.K.E.R.: Shadow of Chernobyl tells a story about survival in the Zone – a very dangerous place, where you fear not only the radiation, anomalies and deadly creatures, but other S.T.A.L.K.E.R.s, who have their own goals and wishes.",steam,320,4500
10818,es,Crysis,,"Adaptarse para Sobrevivir  Una épica historia que empuja a los jugadores a un ambiente en continuo cambio, forzándoles a adaptar sus tácticas y su acercamiento para conquistar campos de batalla que van desde junglas recién congeladas a ambientes alienígenas con gravedad cero.¡Vístete para la ocasión!",steam,296,17300
1081813333,es,Blank,,"Dive in the metaphorical universe of Blank, a third-person puzzle-platformer game with strong stealth aspects. In a world filled with headless people, you must escape from the claws of the Metropolis, switch perspective to find the right path through this dystopian world and recover Blank’s true identity.",steam,127800,1174920
1087376848,es,Bad Guys at School,,"In Bad Guys at School you can play as students and revolt against school system by completing missions, or decide to become a teacher that must maintain order despite the violence and brutality in the school.",steam,128352,1218280
109,es,Space Channel 5: Part 2,,"Hola, SpaceCats – ¡Os presentamos a Ulala, la mejor reportera de la galaxia! Tiene carácter y sabe moverse. ¡Ayudadla a conseguir información sobre un grupo de baile no identificado que ha capturado a miles de personas para obligarlas a bailar!",steam,6603,71260
1090408381,es,State of Decay 2: Juggernaut Edition,,"The dead have risen and civilization has fallen. Now it's up to you to gather survivors, scavenge for resources and build a community in a post-apocalyptic world – a world where you define what it means to survive in this ultimate zombie survival simulation.",steam,,
1101172730,es,AI: The Somnium Files,,Juega como el detective Kaname Date en el caso de un esquivo asesino en serie en este emocionante thriller de ciencia ficción.,steam,104971,948740
110754,es,Alien Swarm: Reactive Drop,,"Juego de disparos, de vista desde arriba, cooperativo y disponible gratis. Una búsqueda de bichos épica mediante una fusión única de juego cooperativo y tácticas de escuadrones.",steam,27523,563560
1109340850,es,Weed Shop 3,,Get ready to light up and hit the beach coz the long-awaited Weed Shop sequel is almost here!,steam,,
11156,es,Star Wars: Shadows of the Empire,,"As Luke Skywalker and the Rebel Alliance struggle to defeat Darth Vader and the Empire, a new threat arises. Dark Prince Xizor aspires to take Darth Vader's place at the Emperor's side. As Dash Rendar, it's up to you to protect Luke and help the Alliance. May the Force be with you!",steam,164,560170
11282,es,Final Fantasy VIII,,"Son tiempos de guerra. Galbadia, una superpotencia mundial, declara la guerra a Dollet, un país vecino cuya academia militar alberga a dos verdaderas personalidades: el exaltado Seifer y el lobo solitario Squall Leonhart, tan enfrentados entre ellos como lo está su país con Galbadia.",steam,,
1129433510,es,Marble Age,,Juego de estrategia y simulación de civilizaciones históricas por turnos. ¡Desarrolla a los atenienses y espartanos desde sus primitivos comienzos como pequeños asentamientos hasta que se transforman en grandes ciudades-estado que dominan el mundo!,steam,35838,346810
114185,es,Dirty Bomb,,¡Trabaja juntos o muere solo! Pelea para restaurar la paz en Londres o derrúmbala por dinero en el juego de disparos por equipos más desafiante.,steam,1902,333930
115541085,es,Blocksplode,,"¡Explota cosas! Destruye estructuras, hunde bloques azules gruñones y guarda gemas para subir a la cima de la torre. Juega desafiantes rompecabezas basados ​​en la física y comparte en línea tus propios diseños de niveles en el modo multijugador en línea para hasta 4 amigos.",steam,118250,1049870
115546,es,Cry of Fear,,"Cry of Fear is a psychological single-player and co-op horror game set in a deserted town filled with horrific creatures and nightmarish delusions. You play as a young man desperately searching for answers in the cold Scandinavian night, finding his way through the city as he slowly descends into madness.",steam,3084,223710
