TwitchCategoryId,Language,Name,Synopsis,Summary,Source,IGDBId,SteamId
1000337659,fr,Why pizza?,,Baba is you meet Getting over it to deliver the best pizza and try not to get bankrupt!,steam,151545,1444490
1001035119,fr,Labyrinth City: Pierre the Maze Detective,,"Inspiré par le livre à succès Pierre The Maze Detective, Labyrinth City est un jeu d’aventure dans lequel vous incarnez Pierre, jeune détective à la recherche d’une pierre magique. Parcourez de fantastiques tableaux remplis de personnages excentriques et d’énigmes afin de sauver Opera City !",steam,145786,1421790
10029543,fr,Crowalt: Traces of the Lost Colony,,"Enfin un jeu d’aventure point &amp; click avec un graphisme pixelisé à l’ancienne. Un jeune aventurier est après un grand mystère. Résolvez les énigmes, suivez votre journal, collecter des artefacts historiques, faire des choix. Et surtout, découvrez vos nouveaux personnages favoris.",steam,132470,1269500
1007000881,fr,Draw & Guess,,Draw &amp; Guess est un jeu de dessin décontracté pour 2 à 16 personnes avec plusieurs modes de jeu ! Choisissez le mode &quot;Chinese Whispers&quot; (4-16 joueurs) ou la compétition et dessinez pendant que les autres devinent aussi vite qu'ils le peuvent !,steam,150463,1483870
1009246122,fr,True Fear: Forsaken Souls Part 1,,"True Fear: Forsaken Souls associe les meilleurs éléments des thrillers psychologiques à des mécaniques de jeu intuitives et amusantes. L’épisode 1, le premier d’une trilogie, vous marquera à jamais.",steam,33569,440420
10095,fr,Sega Bass Fishing,,"Découvrez un sport palpitant, la pêche au black-bass ! Inspiré du célèbre titre Dreamcast, ce jeu vous propose de partir en bateau vers huit coins de pêche différents pour tenter de ferrer le plus gros des black-bass ! Vous aurez le choix entre quatorze leurres et quatre tournois différents.",steam,5147,71240
10119,fr,Hitman: Blood Money,,"L'argent parle. Le silence est d'or. Préparez-vous à tuer. Lorsque des assassins de l'agence de l'agent 47, la ICA, sont éliminés les uns après les autres, il semble qu'une agence plus vaste et puissante soit montée au créneau. Sentant qu'il peut lui-même devenir une cible, 47 se rend en Amérique et prépare son prochain contrat.",steam,,
10126,fr,Star Wars: Dark Forces,,"Behind a veil of secrecy the evil Empire is creating a doomsday army - one that, if finished, will become the final cog in the Empire's arsenal of terror and domination. Your Mission? Join the Rebel Alliance's covert operations division, infiltrate the Empire.",steam,157,32400
1017277484,fr,Winning Love by Daylight,,Winning Love by Daylight is a Visual Novel that puts you directly amongst the action as a High School student who slowly uncovers the secret that several of their classmates are actually magical girl super heroes!,steam,151900,1539780
1019147875,fr,Train Life: A Railway Simulator,,"Pour la première fois dans une simulation ferroviaire, soyez le conducteur et le chef d’entreprise ! Prenez les commandes de vos locomotives et faites prospérer votre compagnie en négociant les bons contrats et en développant votre réseau.",steam,163012,1330660
10209,fr,LEGO Star Wars: The Complete Saga,,"Ramassez des briques du I au VI! Jouez aux 6 films Star Wars en un seul jeu vidéo! Ajout de nouveaux personnages, de nouveaux niveaux, de nouvelles fonctionnalités et pour la première fois, la chance de construire votre chemin et combattre à travers un univers Star Wars amusant sur votre PC!",steam,,
1022552887,fr,DØM RUSALOK,,Russia in the ‘90s. A provincial town at the edge of the crumbling Soviet Empire. A group of kids faces the disturbing horror they are unable to comprehend – the DØM RUSALOK. This is a place where the worst nightmares come true.,steam,132625,1281420
1024771132,fr,Icarus,,"Icarus, a classic side-scrolling space shoot-em-up tribute! - Thumping soundtrack, Bosses, Multiples, Power-ups, Secrets, BIG levels... ...Give the (free) work in progress / teaser demo a try!",steam,174438,1537160
1024839543,fr,Strategic Mind: Fight for Freedom,,Strategic Mind: Fight for Freedom est un jeu de stratégie durant la Seconde Guerre Mondiale. Prenez le commandement des forces Alliées et protégez votre patrie et toute l'Europe de la folie totalitaire. Formez des armées. Gagnez des batailles. Changez l'histoire.,steam,148022,1381850
10251,fr,Kid Chameleon,,"Heady Metal, le boss du jeu d’arcade Wild Side, s’est échappé ! Il a capturé des enfants en les battant à leur propre jeu. Guide Kid Chameleon dans Wild Side et rends à Heady Metal la monnaie de sa pièce. Kid Chameleon est sur le point de les faire passer un sale quart d'heure.",steam,16035,34311
10263,fr,Kao the Kangaroo Round 2,,"Revivez l'incroyable époque du plus courageux et du plus attachant des marsupiaux, Kao le kangourou. Plongez dans un jeu de plateforme en 3D bourré d'action, et incarnez Kao au fil d'une aventure inoubliable.",steam,3962,1048540
1027657022,fr,Dandara: Trials of Fear Edition,,"Dans un univers étrange sur le point de disparaître, Dandara s’est réveillée, prête à remodeler le monde.",steam,27435,612390
1028193207,fr,{Undefined},,"A sandbox survival game, set on life-sized voxel planets with realistic physics with the possibility to shape your own building blocks. From your custom made furniture, walls to vehicle parts. You shape the blocks which can then be used to build buildings, spacecraft and aircraft.",steam,159190,1548130
1029463514,fr,Legendary Tales,,"Legendary tales is a VR Action roleplaying game with up to 4 player co-op. Collect items, enhance your abilities and fight your way through an ever changing dungeon to make your own Legendary Tales.",steam,157175,1465070
102962004,fr,They Are Here: Alien Abduction Horror,,«They Are Here» est une histoire d'horreur à la première personne sur un journaliste qui a été témoin d'un enlèvement extraterrestre à la ferme Grayswood. Explorez la zone armée d'une lampe de poche. Prenez des photos de preuves de la présence d'extraterrestres et allez au fond de l'horrible vérité.,steam,152446,1547540
1029754927,fr,Stay Out of the House,,Edge of your seat STEALTH HORROR as you try to escape the house of a cannibal SERIAL KILLER.... Stay Out of the House is inspired by VHS era slasher movies and PS1 survival horror...,steam,109668,896520
103445,fr,Kentucky Route Zero,,"KENTUCKY ROUTE ZERO est un jeu d'aventure réaliste et magique. Il évoque une autoroute secrète, qui circule dans des galeries enterrées du Kentucky, et le peuple mystérieux qui s'y déplace.",steam,5614,231200
1037570605,fr,House Builder,,"Ils disent qu'un homme doit faire trois choses dans sa vie: planter un arbre, engendrer un fils et construire une maison. Nous ne pouvons pas vous aider avec l'arbre ni avec le fils, mais vous pouvez construire autant de maisons que vous le souhaitez en jouant à House Builder.",steam,133448,1244630
1038135024,fr,Hotel Renovator,,Construisez l'hôtel de vos rêves ! Accueillez des hôtes internationaux. Reconstruisez et meublez vos chambres grâce à votre capital de départ. Créez un superbe lieu distingué. Obtenez les cinq étoiles !,steam,128151,1214470
103831,fr,LEGO Marvel Super Heroes,,"LEGO® Marvel™ Super Heroes propose une histoire originale à travers l’univers Marvel tout entier. Les joueurs peuvent incarner Iron Man, Spider-Man, Hulk, Captain America, Wolverine et bien d’autres personnages Marvel, unis pour empêcher Loki et une horde d’autres super-vilains Marvel de créer une arme surpuissante capable de détruire le...",steam,,
1039531588,fr,The Caretaker,,"In &quot;The Caretaker - Dungeon Nightshift&quot;, you slip into the role of a dungeon caretaker. Your job is as easy as it sounds. Clean up the dungeon after the daily attacks. And don't make too much noise. Make sure, the dungeon master does not wake up! Maybe it's NOT as easy as it sounds......",steam,32429,486550
10407,fr,Counter-Strike: Source,,"Vient juste d'être mis à jour pour inclure les statistiques du joueur, succès, de nouveaux classements et bien plus encore !",steam,,
10408,fr,Master of Orion,,Forge an empire in a universe where population growth is stripping away planetary resources. Colonize unknown planets and trade with other races for their knowledge.,steam,67,410970
104238,fr,Lovers in a Dangerous Spacetime,,"LOVERS IN A DANGEROUS SPACETIME est un shooter spatial en coop à bord d'un immense vaisseau fluorescent. Le travail d'équipe est le maître mot pour combattre les forces maléfiques de l'Anti-Amour, sauver les lapins stellaires et échapper à une mort certaine au fond d'un trou noir.",steam,12520,252110
1047705864,fr,Skinwalker Hunt,,"Skinwalker Hunt is a horror themed hunting game from the creator of Witch Hunt. Main focus of the game is on exploration, non-linearity, and atmosphere.",steam,130126,993110
1050003477,fr,The Elder Scrolls V: Skyrim Special Edition,,"LA RENAISSANCE DU FANTASTIQUELe nouveau chapitre très attendu de la saga Elder Scrolls nous arrive des créateurs du jeu de l'année 2006 et 2008, Bethesda Game Studios. Skyrim réinvente et révolutionne le monde ouvert, ramenant à la vie un monde complet que vous pourrez librement explorer.",steam,472,72850
10532,fr,Call to Arms,,"Call to Arms offers an innovative mix of real-time strategy and 3rd, as well as 1st person controls. Set in the time of modern warfare, the game offers realistically modeled vehicles and heavy weaponry, as well as dozens of firearms and customizations.",steam,17432,302670
1054733525,fr,Writers,,"Writers is a game where you play as a writer and try to be the first in typing random excerpts from the book. Fight against your friends or players around the world, make your way to the top and show them speed you are capable of. Become a member of Writer's club and master all language leagues!",steam,,
1058561628,fr,Hide and Run,,In Hide and Run players are divided into two teams. Props are trying to hide long as possible with hunters trying to find props.,steam,147535,1611460
1059008345,fr,Northern Journey,,"A norwegian happysad game set in a northern land! Adventure through a beautiful and very varied wilderness. Dive, fly, use ziplines and find different weapons to aid your journey to reach the cold mountains and below. Encounter over 50 unique bosses and enemy types!",steam,165179,1639790
1059168438,fr,The Normal Thing,,"THE NORMAL THING is a story about a dog who lost his memory. Sunless forests, strange gardens, weird inhabitants... Start a little journey to retrieve your memory.",steam,150713,1397980
1059905471,fr,MINE!,,"This VR Shooting Gallery single player game has three levels of game play challenging you to defend the mine from invading forces. From your static vantage point you need to shoot as many aliens as possible, as fast as you can. Are you able to stop them stealing your crystals?",steam,,
1061323687,fr,eFootball 2022,,De 'PES' à 'eFootball™' Annonce d’un lot en édition spéciale pour eFootball™ 2022 !,steam,172771,1665460
1062280071,fr,Beyond the Wizard,,"This is a 2D action hardcore flatformer game. Get into the simple but difficult world of Beyond the Wizard! If you have enough patience, this game will not be difficult!",steam,119666,1095680
1063150759,fr,Do 11,,Find a way out of the Do 11 app by doing missions that come from the mysterious Do 11 app. A choice awaits you to solve puzzles and change the fate of the protagonist. Escape the main character from the Do 11 app while savoring a profound worldview and intriguing story. An incredible twist awaits.,steam,161422,1697190
1064808083,fr,My Universe: School Teacher,,"Incarne un jeune professeur fraîchement transféré dans une petite école en difficulté. Partage tes connaissances avec tes élèves, investis-toi dans la vie de l’établissement, participe à des concours et améliore la réputation de l’école grâce à tes efforts !",steam,139216,1238180
1065,fr,Septerra Core: Legacy of the Creator,,"At the very heart of Septerra lies the Core, a huge Biocomputer. Seven continents at different elevations, each with its own unique people and culture, orbit around the Core.According to an ancient prophecy, Septerra's continents will one day converge and join in orbit together on one level - this is the Legacy of Marduk, the Creator's...",steam,7844,253940
106645,fr,Virtual Pool 4,,"Play 8-Ball, 9-Ball, Snooker, Billiards, Pub Pool, 27 games total! “So realistic it will make your real life pool game better!”Two career play modes, trick shots, video tutorials, multi-player online. Virtual Pool 4 is the most comprehensive cue sport game ever!",steam,36070,336150
106657,fr,Gorogoa,,"Gorogoa est une évolution élégante du genre puzzle, accompagnée d’une histoire joliment dessinée à la main, conçue et illustrée par Jason Roberts.",steam,9136,557600
106662,fr,The Cat Lady,,"The Cat Lady follows Susan Ashworth, a lonely 40-year old on the verge of suicide. She has no family, no friends and no hope for a better future. One day she discovers that five strangers will come along and change everything...",steam,,
1066704439,fr,Disquiet Fields,,Disquiet Fields is a horror game where your objective is to survive. The only thing you have to do is to traverse a sandy path in the middle of mysterious fields being stalked by enigmatic creature. Can you survive all the way to the end of that path?,steam,157676,1429130
1067028660,fr,Blair Witch VR,,"Blair Witch: VR Edition est un jeu d'horreur psychologique scénarisé, créé par les esprits créatifs derrière The Medium, jeu acclamé par la critique. Experience firsthand the damage fear can inflict on the mind in an original story inspired by the Blair Witch movie and designed for virtual reality.",steam,164320,1576350
1069224702,fr,Guardian of Lore,,"A mystical library houses books of ancient folktales from lost civilizations. Play as prince Sayri, and protect these stories from wicked magic that aims to erase their memory forever. Enter each story and save it from within... or at least part of it.",steam,128253,1211740
1069583912,fr,Mountain Rescue Simulator,,"Faites face au danger en devenant sauveteur dans Mountain Rescue Simulator ! On a besoin de vous et de votre équipe ! Utilisez vos hélicoptères, quads et dameuses pour sauver des victimes en péril. Occupez-vous des fractures ou secourez des randonneurs égarés !",steam,123737,1087910
10710,fr,Counter-Strike,,"Découvrez le jeu d'action en ligne le plus populaire au monde. Joignez-vous à une lutte antiterroriste au réalisme époustouflant dans ce jeu d'équipe extrêmement populaire. Avec vos coéquipiers, accomplissez des missions stratégiques, partez à l'assaut des sites ennemis et sauvez des otages.",steam,,
