TwitchCategoryId,Language,Name,Synopsis,Summary,Source,IGDBId
513143,,Teamfight Tactics,,TFT is a round-based strategy game that pits you against seven opponents in a free-for-all race to build a powerful team that fights on your behalf. Your goal: Be the last person standing.,,120176
512709,,Call of Duty: Black Ops Cold War,,"The iconic Black Ops series is back with Call of Duty®: Black Ops Cold War – the direct sequel to the original and fan-favorite Call of Duty®: Black Ops. 
 
Black Ops Cold War will drop fans into the depths of the Cold War’s volatile geopolitical battle of the early 1980s. Nothing is ever as it seems in a gripping single-player Campaign, where players will come face-to-face with historical figures and hard truths, as they battle around the globe through iconic locales like East Berlin, Vietnam, Turkey, Soviet KGB headquarters and more. 
 
As elite operatives, you will follow the trail of a shadowy figure named Perseus who is on a mission to destabilize the global balance of power and change the course of history. Descend into the dark center of this global conspiracy alongside iconic characters Woods, Mason and Hudson and a new cast of operatives attempting to stop a plot decades in the making. 
 
Beyond the Campaign, players will bring a Cold War arsenal of weapons and equipment into the next generation of Multiplayer and Zombies experiences. 
 
Welcome to the brink. Welcome to Call of Duty®: Black Ops Cold War.",,137001
509538,,Animal Crossing: New Horizons,,"Escape to a deserted island and create your own paradise as you explore, create, and customize in the Animal Crossing: New Horizons game. Your island getaway has a wealth of natural resources that can be used to craft everything from tools to creature comforts. You can hunt down insects at the crack of dawn, decorate your paradise throughout the day, or enjoy sunset on the beach while fishing in the ocean. The time of day and season match real life, so each day on your island is a chance to check in and find new surprises all year round.",,109462
491487,de,Dead by Daylight,,"Dead by Daylight ist ein Multiplayer-Horrorspiel (4vs1), in dem ein Spieler die Rolle eines wilden Killers übernimmt und die anderen vier Spieler als Überlebende spielen, die versuchen, dem Killer zu entkommen sowie Gefangenschaft und Tötung zu entgehen.",steam,18866
512710,,Call of Duty: Warzone,,"Prepare to go dark, Modern Warfare is back! 
 
The stakes have never been higher as players take on the role of lethal Tier One operators in a heart-racing saga that will affect the global balance of power. Call of Duty: Modern Warfare engulfs fans in an incredibly raw, gritty, provocative narrative that brings unrivaled intensity and shines a light on the changing nature of modern war. 
 
Players will be thrust into an immersive narrative spanning the entire game. Experience the ultimate online playground with classic multiplayer or squad-up and play cooperatively in a collection of elite operations, accessible to all skill levels.",,119177
6086,,Super Mario Sunshine,,"Super Mario Sunshine is a Mario action-adventure 3D platformer. It follows Super Mario 64, and is the second 3D Mario platformer. Gameplay features a combination of action and puzzle solving, with numerous stages and multiple episodes to each stage, and plenty of hidden secrets and surprises. This game introduced many recurring characters and bosses in the Mario series, including Toadsworth, Bowser Jr., Petey Piranha, Gooper Blooper, Piantas, Nokis, Shadow Mario, and F.L.U.D.D. Super Mario Sunshine pays homage to Mario's Italian heritage and upbringing, with many of the locations in the game having Italian names and sometimes referencing Italian culture.",,1075
138585,,Hearthstone,,"Sheathe your sword, draw your deck, and get ready for Hearthstone - the fast paced strategy card game that's easy to learn and massively fun. Start a free game on Battle.net and play your cards to sling spells, summon creatures, and command the heroes of Warcraft in duels of epic strategy. 
 
With powerful prebuilt decks, and hundreds of additional cards to win, craft or purchase - your collection never stops evolving. 
 
Challenge players of all skill levels on Battle.net or hone your skills in practice matches against some of the greatest strategists of Azeroth - Thrall, Uther, Gul'dan, and more!",,1279
369588,,Mario Kart 8,,"Turn your racing experience upside down! Nintendo’s Mario Kart franchise comes to the Wii U console in full HD, introducing new racing circuit designs and anti-gravity karts that will have players driving upside down. And for the first time, all of Bowser’s seven Koopalings are playable characters-- get a taste of being bad on the race track by playing as Iggy, Larry, Lemmy, Ludwig, Morton, Roy and Wendy. Players will also enjoy a variety of series-favorite features, including the return of 12-player online competitive play, hang-gliders, underwater racing and motorbikes.",,2350
491168,,Clash Royale,,"Enter the Arena! From the creators of Clash of Clans comes a real-time multiplayer game starring the Royales, your favorite Clash characters and much, much more.

Collect and upgrade dozens of cards featuring the Clash of Clans troops, spells and defenses you know and love, as well as the Royales: Princes, Knights, Baby Dragons and more. Knock the enemy King and Princesses from their towers to defeat your opponents and win Trophies, Crowns and glory in the Arena. Form a Clan to share cards and build your very own battle community.

Lead the Clash Royale Family to victory!


FEATURES
*Earn chests to unlock rewards, collect powerful new cards and upgrade existing ones
*Destroy opponent’s towers and win Crowns to earn epic Crown chests
*Build and upgrade your card collection with the Clash Royale Family along with dozens of your favorite Clash troops, spells and defenses
*Construct your ultimate Battle Deck to defeat your opponents
*Progress through multiple Arenas all the way to the top
*Form a Clan to share cards and build your very own battle community
*Challenge your Clanmates and friends to a private duel
*Learn different battle tactics by watching the best duels on TV Royale",,15707
500188,de,Hunt: Showdown,,"Hunt: Showdown ist ein spannender, anspruchsvoller PvPvE-First-Person-Shooter. Erledigt albtraumhafte Monster und schnappt euch wertvolle Beute, die euch in diesem unerbittlichen und unvergesslichen Online-Multiplayer-Erlebnis Ruhm, Ausrüstung und Gold beschert.",steam,7291
