TwitchCategoryId,Language,Name,Synopsis,Summary,Source,IGDBId,SteamId
1000337659,it,Why pizza?,,Baba is you meet Getting over it to deliver the best pizza and try not to get bankrupt!,steam,151545,1444490
1001035119,it,Labyrinth City: Pierre the Maze Detective,,Calati nei panni di Pierre e vai alla ricerca della Pietra del Labirinto rubata in questo gioco d'avventura/puzzle ispirato alla serie di libri per ragazzi &quot;Pierre Detective: Alla ricerca della Pietra del Labirinto&quot;.,steam,145786,1421790
1002145906,it,Cinema Simulator,,"&quot;Cinema Simulator&quot; is a simulation video game, here you can experience watching movies in the cinema! What do you want to see!",steam,167581,1453250
10029543,it,Crowalt: Traces of the Lost Colony,,"A young adventurer Hugh Radcliff is in pursuit of one of the greatest mysteries of history: The Lost Colony. Deal with pirates, dive into native rituals, reveal conspiracies, and make tough choices on your difficult journey for unveiling this mystery!",steam,132470,1269500
1004649223,it,Vampire: The Masquerade - Shadows of New York,,Vampire: The Masquerade - Coteries of New York is a narrative experience set in the rich universe of Vampire: The Masquerade 5th Edition. It presents the struggle for power between two vampiric factions - the Camarilla and the Anarchs - bathed in the night lights of the Big Apple.,steam,119225,1096410
1007000881,it,Draw & Guess,,Draw &amp; Guess è un gioco di disegno casuale per 2-16 persone con più modalità di gioco! Scegli la modalità Sussurri cinesi (4-16 giocatori) o diventa competitivo e disegna mentre tutti gli altri indovinano il più velocemente possibile!,steam,150463,1483870
1009246122,it,True Fear: Forsaken Souls Part 1,,"True Fear: Forsaken Souls unisce le qualità del thriller psicologico a meccaniche di gioco divertenti e intuitive. L'Episodio 1, il primo della trilogia, godrà a lungo della sua fama.",steam,33569,440420
10095,it,Sega Bass Fishing,,"Scopri l'esaltante mondo della pesca al pesce persico! Come nel grande successo per Dreamcast, esci in barca in otto località di pesca diverse per prendere i persici più grossi e tenaci mai visti! Scegli tra quattordici esche diverse e competi in quattro tornei.",steam,5147,71240
1009901236,it,Hellboy: Web of Wyrd,,"Hellboy Web of Wyrd è un picchiaduro d'azione in stile rogue con una trama originale, creata in collaborazione con Dark Horse Comics e il creatore di Hellboy Mike Mignola. Quando un agente del B.P.R.D. scompare, Hellboy viene mandato a indagare sulla vicenda, arrivando fin nelle profondità del Wyrd.",steam,228522,2160480
10119,it,Hitman: Blood Money,,"Money Talks. Silence Pays. Prepare to Make a Killing. When assassins from Agent 47's contract agency, The ICA, are eliminated in a series of hits, it seems a larger, more powerful agency has entered the fray. Sensing he may be a target, 47 travels to America, and prepares to make a killing.",steam,1048,6860
10126,it,Star Wars: Dark Forces,,"Behind a veil of secrecy the evil Empire is creating a doomsday army - one that, if finished, will become the final cog in the Empire's arsenal of terror and domination. Your Mission? Join the Rebel Alliance's covert operations division, infiltrate the Empire.",steam,157,32400
1013774345,it,Rail Route,,"In Rail Route, you will design, construct, upgrade, and automate your railway network in one of the many maps based on real-life cities worldwide. Dispatch the trains to make the traffic flow and the network grow!",steam,145422,1124180
10146,it,Psycho,,”Psycho” is a 3D horror game that allows you to explore and survive with your friends in the terrible mystery bunker.,steam,85904,1440290
1017277484,it,Winning Love by Daylight,,Winning Love by Daylight is a Visual Novel that puts you directly amongst the action as a High School student who slowly uncovers the secret that several of their classmates are actually magical girl super heroes!,steam,151900,1539780
1017334726,it,The Grinch: Christmas Adventures,,"Divertiti a fermare il Natale con il Grinch in questo platform festivo e, durante l'avventura, aiuta il suo cuore a crescere di tre taglie!",steam,256017,1978210
1019147875,it,Train Life: A Railway Simulator,,Per la prima volta in una simulazione ferroviaria potrai vestire i panni sia del macchinista che del dirigente dell'azienda! Prendi il controllo delle tue locomotive e crea un impero ferroviario negoziando contratti e sviluppando la tua rete.,steam,163012,1330660
1020159034,it,Archvale,,Take up your weapon in this RPG bullet-hell world and embark on a journey to right wrongs from long ago. Only you can defeat the evil forces of the Undying guardians and reunite the world with the fabled Archvale.,steam,152168,1296360
10209,it,LEGO Star Wars: The Complete Saga,,"Kick Some Brick in I through VI! Play through all six Star Wars movies in one videogame! Adding new characters, new levels, new features and for the first time ever, the chance to build and battle your way through a fun Star Wars galaxy on your PC!",steam,,
1022552887,it,DØM RUSALOK,,Russia in the ‘90s. A provincial town at the edge of the crumbling Soviet Empire. A group of kids faces the disturbing horror they are unable to comprehend – the DØM RUSALOK. This is a place where the worst nightmares come true.,steam,132625,1281420
1023917542,it,Backpack Hero,,"The inventory management roguelike! Collect rare items, organize your bag, and vanquish your foes!",steam,194504,1970580
1023950301,it,HumanitZ,,"HumanitZ è un survival game open world co-op con visuale isometrica ambientato in un mondo distrutto da un'epidemia di zombie. Nelle vesti di uno dei pochi sopravvissuti umani, cerca di resistere il più &quot;umanamente&quot; possibile. Non puoi cambiare il passato, ma il futuro sì!",steam,172722,1766060
1024771132,it,Icarus,,"Icarus, a classic side-scrolling space shoot-em-up tribute! - Thumping soundtrack, Bosses, Multiples, Power-ups, Secrets, BIG levels... ...Give the (free) work in progress / teaser demo a try!",steam,174438,1537160
1024839543,it,Strategic Mind: Fight for Freedom,,Strategic Mind: Fight for Freedom is a history-driven turn-based strategy set in WW2. Take command of the Allied forces and protect your homeland and the whole of Europe from totalitarian madness. Form armies. Win battles. Change history.,steam,148022,1381850
10251,it,Kid Chameleon,,"Heady Metal, the boss of the arcade game Wild Side, has escaped! He’s capturing kids by defeating them at their own game. Take Kid Chameleon into Wild Side and give Heady metal and his gruesome underlings a taste of their own aspirin. Because Kid Chameleon is about to cause a few headaches of his own!",steam,16035,34311
10263,it,Kao the Kangaroo Round 2,,"Fai un tuffo nei ricordi e divertirti di nuovo insieme al coraggioso e adorabile Kao il canguro. Immergiti in un classico gioco a piattaforme 3D ricco di avventura dove Kao corre, salta e lotta contro i nemici.",steam,3962,1048540
1027657022,it,Dandara: Trials of Fear Edition,,"In un universo bizzarro in cui gli oppressi sono sull'orlo dell'oblio, Dandara si è risvegliata per rimodellare il mondo.",steam,27435,612390
1028193207,it,{Undefined},,"A sandbox survival game, set on life-sized voxel planets with realistic physics with the possibility to shape your own building blocks. From your custom made furniture, walls to vehicle parts. You shape the blocks which can then be used to build buildings, spacecraft and aircraft.",steam,159190,1548130
1029463514,it,Legendary Tales,,"Legendary tales is a VR Action roleplaying game with up to 4 player co-op. Collect items, enhance your abilities and fight your way through an ever changing dungeon to make your own Legendary Tales.",steam,157175,1465070
102962004,it,They Are Here: Alien Abduction Horror,,&quot;They Are Here&quot; - è una storia dell'orrore in prima persona su un giornalista che ha assistito a un rapimento alieno nella fattoria di Grayswood. Esplora l'area armato di una torcia. Scatta foto delle prove della presenza degli alieni e vai a fondo della terrificante verità.,steam,152446,1547540
1029754927,it,Stay Out of the House,,Edge of your seat STEALTH HORROR as you try to escape the house of a cannibal SERIAL KILLER.... Stay Out of the House is inspired by VHS era slasher movies and PS1 survival horror...,steam,109668,896520
