TwitchCategoryId,Language,Name,Synopsis,Summary,Source,IGDBId,SteamId
1000337659,uk,Why pizza?,,Baba is you meet Getting over it to deliver the best pizza and try not to get bankrupt!,steam,151545,1444490
1001035119,uk,Labyrinth City: Pierre the Maze Detective,,"Adapted from the bestselling children’s book series Pierre The Maze Detective, play as Pierre in this adventure/puzzle game and recover the stolen Maze Stone. Journey through breathtakingly hand-drawn illustrations, meet eccentric characters, and solve puzzles to save Opera City!",steam,145786,1421790
1002145906,uk,Cinema Simulator,,"&quot;Cinema Simulator&quot; is a simulation video game, here you can experience watching movies in the cinema! What do you want to see!",steam,167581,1453250
10029543,uk,Crowalt: Traces of the Lost Colony,,"A young adventurer Hugh Radcliff is in pursuit of one of the greatest mysteries of history: The Lost Colony. Deal with pirates, dive into native rituals, reveal conspiracies, and make tough choices on your difficult journey for unveiling this mystery!",steam,132470,1269500
1004649223,uk,Vampire: The Masquerade - Shadows of New York,,Vampire: The Masquerade - Coteries of New York is a narrative experience set in the rich universe of Vampire: The Masquerade 5th Edition. It presents the struggle for power between two vampiric factions - the Camarilla and the Anarchs - bathed in the night lights of the Big Apple.,steam,119225,1096410
1007000881,uk,Draw & Guess,,Draw &amp; Guess is a casual drawing game for up to 16 players. Pick a word and draw away or try to guess your fellow players’ submissions. Multiple game modes and settings available to spice things up!,steam,150463,1483870
1009246122,uk,True Fear: Forsaken Souls Part 1,,"“True Fear: Forsaken Souls” бере найкраще з арсеналу психологічного трилера. Кінематографічні пасажи, загадки та сцени з пошуком об’єктів відпрацьовані з найвищою ретельністю й занурені у похмуру атмосферу. Це перша частина трилогії.",steam,33569,440420
10095,uk,Sega Bass Fishing,,"Explore the exciting sport of Bass fishing! Based on the Dreamcast hit, motor out to eight different fishing locations to catch the biggest and baddest Bass possible! Choose between fourteen different lures, and compete in four tournaments. Start off as an amateur, and work your way up to the pros in the Masters Classic tournament.",steam,5147,71240
1009901236,uk,Hellboy: Web of Wyrd,,"Hellboy Web of Wyrd — це гра у жанрі roguelike та action adventure з оригінальним сюжетом, створена у співпраці з Dark Horse Comics і творцем Хеллбоя Майком Міньйолою. Коли безслідно зникає агент B.P.R.D., для проведення розслідування відправляють Хеллбоя, занурюючи його тим самим у глибини Вірда.",steam,228522,2160480
10119,uk,Hitman: Blood Money,,"Money Talks. Silence Pays. Prepare to Make a Killing. When assassins from Agent 47's contract agency, The ICA, are eliminated in a series of hits, it seems a larger, more powerful agency has entered the fray. Sensing he may be a target, 47 travels to America, and prepares to make a killing.",steam,1048,6860
10126,uk,Star Wars: Dark Forces,,"Behind a veil of secrecy the evil Empire is creating a doomsday army - one that, if finished, will become the final cog in the Empire's arsenal of terror and domination. Your Mission? Join the Rebel Alliance's covert operations division, infiltrate the Empire.",steam,157,32400
1013774345,uk,Rail Route,,"In Rail Route, you will design, construct, upgrade, and automate your railway network in one of the many maps based on real-life cities worldwide. Dispatch the trains to make the traffic flow and the network grow!",steam,145422,1124180
10146,uk,Psycho,,”Psycho” is a 3D horror game that allows you to explore and survive with your friends in the terrible mystery bunker.,steam,85904,1440290
1017277484,uk,Winning Love by Daylight,,Winning Love by Daylight is a Visual Novel that puts you directly amongst the action as a High School student who slowly uncovers the secret that several of their classmates are actually magical girl super heroes!,steam,151900,1539780
1017334726,uk,The Grinch: Christmas Adventures,,"У Грінча виникла огидно чудова ідея — викрасти всі подарунки в Хтограді, використовуючи такі причандали, як костюм Санти та карамельний аркан. Нишпори разом із ним, заморозь усіх сніжками та дізнайся більше про Різдво в цьому святковому платформері!",steam,256017,1978210
1019147875,uk,Train Life: A Railway Simulator,,"For the first time in railroad simulation, play as both the driver and company director! Take the controls of your locomotives and grow your railway empire by negotiating deals and developing your network.",steam,163012,1330660
1020159034,uk,Archvale,,Take up your weapon in this RPG bullet-hell world and embark on a journey to right wrongs from long ago. Only you can defeat the evil forces of the Undying guardians and reunite the world with the fabled Archvale.,steam,152168,1296360
10209,uk,LEGO Star Wars: The Complete Saga,,"Kick Some Brick in I through VI! Play through all six Star Wars movies in one videogame! Adding new characters, new levels, new features and for the first time ever, the chance to build and battle your way through a fun Star Wars galaxy on your PC!",steam,2682,32440
1022552887,uk,DØM RUSALOK,,Russia in the ‘90s. A provincial town at the edge of the crumbling Soviet Empire. A group of kids faces the disturbing horror they are unable to comprehend – the DØM RUSALOK. This is a place where the worst nightmares come true.,steam,132625,1281420
1023917542,uk,Backpack Hero,,"The inventory management roguelike! Collect rare items, organize your bag, and vanquish your foes!",steam,194504,1970580
1023950301,uk,HumanitZ,,"HumanitZ is a co-op, isometric, open world survival game in a world ended by the zombie outbreak. As one of the few human survivors, try to last as long as “humanly” possible. The past can’t be changed, but you can make a difference today for the future of humanity.",steam,172722,1766060
1024771132,uk,Icarus,,"Icarus, a classic side-scrolling space shoot-em-up tribute! - Thumping soundtrack, Bosses, Multiples, Power-ups, Secrets, BIG levels... ...Give the (free) work in progress / teaser demo a try!",steam,174438,1537160
